"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2020","1,340.75","1,345.86","1,346.84","1,337.87","","-0.25%"
"02/06/2020","1,344.11","1,332.86","1,349.96","1,332.37","","2.12%"
"02/05/2020","1,316.19","1,316.13","1,319.87","1,311.54","","1.06%"
"02/04/2020","1,302.43","1,289.75","1,303.90","1,289.12","","0.64%"
"02/03/2020","1,294.14","1,284.69","1,297.61","1,281.57","","-0.66%"
"01/31/2020","1,302.77","1,303.25","1,314.60","1,302.34","","0.57%"
"01/30/2020","1,295.40","1,309.63","1,311.15","1,289.84","","-1.46%"
"01/29/2020","1,314.54","1,310.53","1,314.85","1,306.44","","0.51%"
"01/28/2020","1,307.88","1,304.82","1,310.43","1,302.76","","-0.63%"
"01/27/2020","1,316.18","1,315.93","1,321.04","1,311.70","","-1.59%"
"01/24/2020","1,337.41","1,339.04","1,339.35","1,333.85","","0.07%"
"01/23/2020","1,336.48","1,338.81","1,341.24","1,335.50","","-0.79%"
"01/22/2020","1,347.14","1,338.10","1,347.53","1,337.92","","0.53%"
"01/21/2020","1,340.06","1,347.54","1,348.09","1,338.13","","-0.59%"
"01/20/2020","1,348.02","1,346.05","1,349.37","1,345.82","","0.48%"
"01/17/2020","1,341.53","1,342.84","1,343.19","1,339.52","","0.41%"
"01/16/2020","1,336.04","1,339.22","1,339.74","1,334.27","","-0.10%"
"01/15/2020","1,337.38","1,339.81","1,343.48","1,334.82","","-0.59%"
"01/14/2020","1,345.27","1,344.48","1,345.65","1,340.72","","0.40%"
"01/10/2020","1,339.91","1,338.79","1,343.22","1,336.70","","0.39%"
"01/09/2020","1,334.69","1,329.24","1,336.74","1,328.28","","1.64%"
"01/08/2020","1,313.16","1,312.69","1,316.85","1,299.36","","-1.34%"
"01/07/2020","1,330.94","1,316.00","1,331.68","1,315.74","","1.61%"
"01/06/2020","1,309.82","1,311.54","1,315.04","1,304.19","","-1.37%"
"12/30/2019","1,327.99","1,332.52","1,332.93","1,325.75","","-0.68%"
"12/27/2019","1,337.02","1,339.45","1,341.33","1,336.54","","0.06%"
"12/26/2019","1,336.19","1,329.09","1,336.19","1,328.58","","0.54%"
"12/25/2019","1,328.96","1,332.86","1,333.74","1,328.40","","-0.37%"
"12/24/2019","1,333.85","1,336.03","1,337.23","1,332.58","","-0.08%"
"12/23/2019","1,334.97","1,340.76","1,340.93","1,333.85","","-0.17%"
"12/20/2019","1,337.31","1,340.93","1,342.01","1,332.90","","-0.23%"
"12/19/2019","1,340.39","1,341.08","1,344.51","1,337.55","","-0.15%"
"12/18/2019","1,342.37","1,347.72","1,348.23","1,341.13","","-0.49%"
"12/17/2019","1,348.94","1,348.46","1,348.94","1,342.76","","0.58%"
"12/16/2019","1,341.16","1,341.92","1,345.00","1,341.16","","-0.21%"
"12/13/2019","1,343.95","1,341.90","1,347.41","1,339.45","","1.66%"
"12/12/2019","1,322.04","1,326.17","1,326.36","1,318.57","","-0.09%"
"12/11/2019","1,323.21","1,327.14","1,328.32","1,320.97","","-0.32%"
"12/10/2019","1,327.41","1,327.64","1,330.11","1,326.21","","-0.11%"
"12/09/2019","1,328.84","1,331.90","1,331.98","1,322.09","","0.51%"
"12/06/2019","1,322.07","1,322.57","1,324.82","1,319.31","","0.07%"
"12/05/2019","1,321.18","1,321.73","1,323.70","1,317.48","","0.49%"
"12/04/2019","1,314.74","1,309.78","1,314.86","1,306.12","","-0.27%"
"12/03/2019","1,318.31","1,309.72","1,318.65","1,307.64","","-0.44%"
"12/02/2019","1,324.07","1,317.25","1,326.29","1,316.56","","0.93%"
"11/29/2019","1,311.93","1,322.75","1,323.11","1,310.99","","-0.56%"
"11/28/2019","1,319.36","1,322.04","1,323.35","1,315.89","","-0.13%"
"11/27/2019","1,321.11","1,321.13","1,324.30","1,320.03","","0.27%"
"11/26/2019","1,317.51","1,322.66","1,328.48","1,317.05","","0.18%"
"11/25/2019","1,315.14","1,315.04","1,317.43","1,312.60","","0.69%"
"11/22/2019","1,306.13","1,304.72","1,311.67","1,304.01","","0.12%"
"11/21/2019","1,304.60","1,302.79","1,305.95","1,286.70","","-0.11%"
"11/20/2019","1,306.09","1,304.24","1,310.70","1,300.71","","-0.30%"
"11/19/2019","1,310.00","1,310.35","1,313.16","1,305.72","","-0.26%"
"11/18/2019","1,313.48","1,309.63","1,313.48","1,307.87","","0.24%"
"11/15/2019","1,310.32","1,303.31","1,312.72","1,301.12","","0.66%"
"11/14/2019","1,301.68","1,311.74","1,313.35","1,298.13","","-0.93%"
"11/13/2019","1,313.85","1,318.33","1,319.15","1,313.24","","-0.53%"
"11/12/2019","1,320.84","1,315.39","1,321.98","1,312.45","","0.32%"
"11/11/2019","1,316.68","1,320.37","1,322.31","1,314.91","","0.03%"
"11/08/2019","1,316.32","1,322.88","1,324.59","1,312.44","","0.30%"
"11/07/2019","1,312.41","1,308.91","1,313.43","1,307.90","","0.22%"
"11/06/2019","1,309.48","1,315.23","1,315.23","1,305.05","","0.01%"
"11/05/2019","1,309.36","1,300.63","1,311.89","1,299.11","","1.67%"
"11/01/2019","1,287.87","1,277.54","1,287.87","1,277.47","","0.00%"
"10/31/2019","1,287.90","1,286.97","1,290.05","1,282.88","","0.09%"
"10/30/2019","1,286.78","1,286.51","1,288.35","1,282.84","","0.11%"
"10/29/2019","1,285.41","1,280.94","1,286.27","1,280.55","","0.87%"
"10/28/2019","1,274.31","1,276.35","1,277.70","1,274.19","","-0.01%"
"10/25/2019","1,274.43","1,273.09","1,274.89","1,269.50","","0.25%"
"10/24/2019","1,271.24","1,273.27","1,274.49","1,270.85","","0.36%"
"10/23/2019","1,266.62","1,262.61","1,267.04","1,252.97","","0.56%"
"10/21/2019","1,259.55","1,257.81","1,261.34","1,257.05","","0.40%"
"10/18/2019","1,254.55","1,259.55","1,263.02","1,252.88","","-0.16%"
"10/17/2019","1,256.55","1,259.85","1,261.62","1,256.44","","-0.45%"
"10/16/2019","1,262.19","1,266.98","1,273.61","1,259.31","","0.70%"
"10/15/2019","1,253.41","1,249.64","1,255.83","1,246.74","","1.56%"
"10/11/2019","1,234.17","1,232.57","1,235.25","1,228.00","","0.95%"
"10/10/2019","1,222.58","1,219.34","1,223.72","1,209.19","","0.06%"
"10/09/2019","1,221.81","1,213.68","1,222.05","1,213.68","","-0.35%"
"10/08/2019","1,226.09","1,222.04","1,227.76","1,221.36","","0.82%"
"10/07/2019","1,216.08","1,219.01","1,221.11","1,213.60","","-0.02%"
"10/04/2019","1,216.35","1,209.81","1,216.45","1,207.07","","0.27%"
